City,Cuisine,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022
"Chennai, Tamil Nadu",Demand: Nepalese,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: Nepalese,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: North Indian,100,96.52,90.26,81.33,81.37,85.64,82.73,96.73,88.67,96.19,96.92
"Mumbai, Maharashtra",Demand: North Indian,100,93.43,93.01,80.76,79.77,83.68,78.14,90.93,84.9,88.63,89.1
"Chennai, Tamil Nadu",Demand: North Indian,95.99,92.55,93.98,81.29,83.43,88.21,83.92,96.28,100,88.9,91.89
"Bengaluru, Karnataka",Demand: North Indian,100,94.35,93.71,84.21,81.21,83.19,81.33,84.08,82.84,86.54,91.86
"Hyderabad, Telangana",Demand: North Indian,100,92.59,95.25,82.2,82.4,91.61,92.43,95.4,88.76,91.97,89.52
"Kolkata, West Bengal",Demand: North Indian,100,91.46,89.11,79.08,80.42,82.5,78.48,97.96,91.85,91.79,95.45
"Kolkata, West Bengal",Demand: Odia,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Odia,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Odia,95.14,99.38,100,74.27,74.09,69.18,70.44,73.06,58.79,61.62,65.22
"Delhi NCR, Delhi NCR",Demand: Odia,98.48,100,78.35,74.46,64.94,59.74,60.17,54.33,60.82,61.04,67.75
"Hyderabad, Telangana",Demand: Odia,100,89.2,96.33,89.52,90.5,86.29,78.62,84.56,86.29,61.77,55.83
"Mumbai, Maharashtra",Demand: Odia,100,73.45,78.38,78.54,73.29,62,57.55,54.69,52.94,49.92,46.26
"Bengaluru, Karnataka",Demand: Oriental,100,94.24,96.42,87.89,85.45,91.33,87.01,86.98,84.03,86.49,91.57
"Hyderabad, Telangana",Demand: Oriental,98.2,89.05,93.12,84.17,87.32,100,97.56,95.7,90.42,91.97,93.42
"Mumbai, Maharashtra",Demand: Oriental,100,94.07,96.23,87.22,90.14,97.52,88.18,97.79,90.72,95.82,98.74
"Delhi NCR, Delhi NCR",Demand: Oriental,100,98.43,92.93,86.75,87.73,93.19,86.34,97.55,87.16,92.59,92.07
"Chennai, Tamil Nadu",Demand: Oriental,96.42,92.22,92.52,82.6,86.05,92.51,90.52,99.08,100,89.73,89.45
"Kolkata, West Bengal",Demand: Oriental,99.55,93.9,92.17,81.95,83.29,88.29,80.73,100,90.68,89.23,95.13
"Hyderabad, Telangana",Demand: Pan-asian,91.84,87.76,87.76,65.31,59.18,77.55,58.16,57.14,75.51,100,95.92
"Mumbai, Maharashtra",Demand: Pan-asian,94.34,90.89,100,88.46,81.78,99.85,77.44,87.14,87.14,86.04,85.89
"Bengaluru, Karnataka",Demand: Pan-asian,100,86.88,83.52,87.4,73.83,74.42,68.9,76.73,64.65,72.78,68.75
"Delhi NCR, Delhi NCR",Demand: Pan-asian,100,88.29,82.38,75.6,75.42,83.39,69.91,67.91,71.28,71.54,76.87
"Chennai, Tamil Nadu",Demand: Pan-asian,93.1,100,94.48,94.48,66.21,78.62,55.17,61.38,82.76,50.34,61.38
"Kolkata, West Bengal",Demand: Pan-asian,100,86.15,82,80.18,76.11,80.23,75.03,70.66,81.26,86.15,99.22
"Kolkata, West Bengal",Demand: Parsi,100,85.38,83.08,40,,,,,,,
"Bengaluru, Karnataka",Demand: Parsi,70.5,72.36,100,68.32,71.43,45.34,51.24,45.65,51.86,51.86,27.95
"Mumbai, Maharashtra",Demand: Parsi,100,55.48,56.29,48.91,47.07,50.14,45.83,47.38,51.58,57.82,51.42
"Delhi NCR, Delhi NCR",Demand: Parsi,100,87.9,89.27,80.24,69.85,65.08,48.72,61.16,60.65,60.14,58.94
"Hyderabad, Telangana",Demand: Parsi,80.75,83.57,100,73.94,63.62,58.69,49.53,42.25,35.92,30.52,25.12
"Chennai, Tamil Nadu",Demand: Parsi,,,,,,,,,,,
"Hyderabad, Telangana",Demand: Pasta,100,90.5,94.27,87.51,80.73,86.7,86.97,82.98,83.5,87.61,95.2
"Mumbai, Maharashtra",Demand: Pasta,95.34,95.94,100,86.39,81.13,84.78,78.13,87.52,88.28,93.29,93.55
"Kolkata, West Bengal",Demand: Pasta,96.89,91.37,93.29,84.11,81.62,84.53,81.31,93.51,92.39,93.35,100
"Delhi NCR, Delhi NCR",Demand: Pasta,100,95.27,96.02,85.01,81.54,84.2,79.61,89.44,88.01,91.7,95.81
"Bengaluru, Karnataka",Demand: Pasta,100,94.56,93.76,82.08,70.34,71.06,66.89,66.19,57.81,57.89,64.1
"Chennai, Tamil Nadu",Demand: Pasta,100,95.47,97.77,84.83,78.76,83.66,79.47,94.57,99.9,83.06,91.43
"Kolkata, West Bengal",Demand: Pizza,99.96,96.63,100,85.81,87.34,93.34,77.55,96.04,85.58,84.91,81.63
"Bengaluru, Karnataka",Demand: Pizza,99.49,99.08,100,91.68,90.18,97.03,90.13,86.54,86.44,88.89,86.39
"Hyderabad, Telangana",Demand: Pizza,100,92.47,94.5,89.85,90.96,99.63,96.16,90.62,90.47,90.27,99.52
"Chennai, Tamil Nadu",Demand: Pizza,98.86,92.25,91.79,80.58,83.44,93.87,91.95,95.21,100,86.52,87.32
"Mumbai, Maharashtra",Demand: Pizza,99.05,96.62,98.68,88.21,89.28,100,89.2,95.09,93.72,94.37,93.32
"Delhi NCR, Delhi NCR",Demand: Pizza,100,95.02,99.86,85.84,90.78,94.53,84.77,94,90.19,92.46,90.94
"Delhi NCR, Delhi NCR",Demand: Portuguese,,74.43,3.87,,,,,,,100,
"Hyderabad, Telangana",Demand: Portuguese,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Portuguese,,,,,,,,,,,
"Kolkata, West Bengal",Demand: Portuguese,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: Portuguese,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Portuguese,2.64,100,6.91,6.19,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Rajasthani,94.54,95.3,80.71,97.3,95.64,81.12,68.67,79.53,99.86,91.84,100
"Kolkata, West Bengal",Demand: Rajasthani,58.66,100,88.43,76.49,77.46,82.16,81.64,90.52,59.25,60.22,74.18
"Bengaluru, Karnataka",Demand: Rajasthani,57.26,47.89,60.99,53.13,53.56,50.22,71.38,77.87,75.39,100,98.61
"Hyderabad, Telangana",Demand: Rajasthani,94.77,86.49,77.22,52.17,36.39,60.55,93,100,86.09,52.37,45.86
"Mumbai, Maharashtra",Demand: Rajasthani,90.68,93.78,93.78,68.88,79.67,78.92,66.7,75.03,69.27,84.74,100
"Chennai, Tamil Nadu",Demand: Rajasthani,81.28,72.58,69.34,68.87,85.59,89.98,74.2,84.9,88.7,82,100
"Kolkata, West Bengal",Demand: Rolls,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Rolls,100,99.07,89.5,85.13,83.3,87.88,84.29,89.93,88.55,91.74,91.34
"Mumbai, Maharashtra",Demand: Rolls,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Rolls,,,,,,,,,,,
"Hyderabad, Telangana",Demand: Rolls,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Rolls,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: Russian,,,,,,,,,,,
"Hyderabad, Telangana",Demand: Russian,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Russian,,,,,,,,,,,
"Kolkata, West Bengal",Demand: Russian,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Russian,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Russian,,33.33,33.33,66.67,33.33,66.67,33.33,66.67,33.33,100,
"Delhi NCR, Delhi NCR",Demand: Salad,100,95.29,88.1,79.38,63.84,64.69,73.77,72.32,82.71,87.5,98.65
"Mumbai, Maharashtra",Demand: Salad,100,96.05,97.49,86.91,78.17,77.43,82.22,77.09,75.13,75.77,75.1
"Hyderabad, Telangana",Demand: Salad,99.45,86.91,98.57,92.38,90.34,98.67,100,86.75,81.22,80.84,76.2
"Bengaluru, Karnataka",Demand: Salad,84.41,86.94,100,90.52,84.61,79.58,72.46,62.8,65.98,62.44,71.76
"Kolkata, West Bengal",Demand: Salad,82.12,77.66,72.24,60.3,57.33,71.24,76.92,100,96.96,96.46,80.75
"Chennai, Tamil Nadu",Demand: Salad,100,87.27,90.16,78.68,74.34,73.82,74.27,80.11,99.88,93.89,94.64
"Kolkata, West Bengal",Demand: Seafood,100,81.34,81.44,65.64,62.93,57.09,53.09,70.09,80.82,82.27,94.14
"Bengaluru, Karnataka",Demand: Seafood,78.79,98.56,100,80.92,85.17,83.41,76.83,75.97,82.59,86.12,88.02
"Delhi NCR, Delhi NCR",Demand: Seafood,100,93.13,86.49,78.49,74.55,64.75,76.13,55.86,55.41,57.77,64.3
"Mumbai, Maharashtra",Demand: Seafood,71.26,83.48,89.56,86.25,87.78,88.11,78.3,85.78,85.91,85.19,100
"Chennai, Tamil Nadu",Demand: Seafood,68.3,81.92,84.55,60.65,65.61,72.39,66.52,79.51,97.15,100,98.93
"Hyderabad, Telangana",Demand: Seafood,100,41.24,33.02,18.89,17.8,17.66,19.97,19.36,13.32,9.04,12.64
"Chennai, Tamil Nadu",Demand: Shawarma,98.02,96.28,100,83.57,85.76,85.73,83.96,82.13,81.5,73.75,75.7
"Hyderabad, Telangana",Demand: Shawarma,96.59,85.94,94.64,84.26,89.8,100,98.06,89.22,85.38,80.86,76.24
"Mumbai, Maharashtra",Demand: Shawarma,100,98.65,99.79,89.44,86.67,87.56,82.41,82.32,79.5,75.12,82.05
"Delhi NCR, Delhi NCR",Demand: Shawarma,95.82,100,78.8,81.27,73.26,80.46,75.58,73.67,68.64,79.52,76.16
"Kolkata, West Bengal",Demand: Shawarma,95.15,100,95.77,84.34,73.27,63.94,55.21,58.79,62.49,67.24,60.16
"Bengaluru, Karnataka",Demand: Shawarma,100,95.57,98.25,85.9,79.59,77.61,73.17,66.56,65.31,60.72,64.27
"Hyderabad, Telangana",Demand: Sichuan,11.29,17.74,56.45,62.9,45.16,80.65,74.19,59.68,72.58,74.19,100
"Bengaluru, Karnataka",Demand: Sichuan,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Sichuan,50,,,,,,50,,100,,50
"Mumbai, Maharashtra",Demand: Sichuan,1.15,2.3,3.45,100,9.2,8.05,9.2,2.3,6.9,,
"Chennai, Tamil Nadu",Demand: Sichuan,,,,,,100,,,,,
"Kolkata, West Bengal",Demand: Sichuan,,,100,16.67,,,,,,,
"Mumbai, Maharashtra",Demand: Sindhi,98.62,100,98.89,80.37,77.21,83.13,73.08,92.83,78.95,77.61,73.34
"Delhi NCR, Delhi NCR",Demand: Sindhi,89.19,100,81.08,62.16,45.95,27.03,56.76,64.86,40.54,62.16,43.24
"Hyderabad, Telangana",Demand: Sindhi,100,66.67,47.97,34.96,30.08,20.33,27.64,48.78,57.72,49.59,56.1
"Chennai, Tamil Nadu",Demand: Sindhi,,,,,,,,,,,
"Kolkata, West Bengal",Demand: Sindhi,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Sindhi,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Singaporean,,,,,,,,,,,
"Kolkata, West Bengal",Demand: Singaporean,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: Singaporean,,,,,,,,,,,
"Hyderabad, Telangana",Demand: Singaporean,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Singaporean,74.01,75.71,94.35,100,65.54,66.1,53.11,61.58,64.41,79.66,89.27
"Chennai, Tamil Nadu",Demand: Singaporean,46.91,65.93,63.21,68.64,85.43,67.9,71.85,65.68,100,82.47,91.36
"Kolkata, West Bengal",Demand: Snacks,86.26,83.97,78.06,68.83,71.94,73.63,68.91,86.71,90.69,100,94.61
"Delhi NCR, Delhi NCR",Demand: Snacks,96.06,100,86.64,85.45,83.39,84.38,71.47,81.72,87.98,88.98,89.67
"Mumbai, Maharashtra",Demand: Snacks,95.52,96.98,92.57,81.45,87.77,100,85.19,92.57,97.69,92.51,98.1
"Chennai, Tamil Nadu",Demand: Snacks,62.24,73.98,77.15,66.49,61.16,76.42,68.93,85.46,100,66.21,70.82
"Hyderabad, Telangana",Demand: Snacks,61.9,78.38,92.15,70.06,67.11,76.98,78.23,90.28,100,90.36,93.86
"Bengaluru, Karnataka",Demand: Snacks,78.95,82.32,87.72,72.24,67.77,76.68,66.73,84.32,100,98.03,87.82
"Hyderabad, Telangana",Demand: South Indian,86.54,100,96.29,78.36,77.87,84.77,79.71,81.54,76.58,78.07,71.31
"Bengaluru, Karnataka",Demand: South Indian,100,91.43,92.55,82.94,83.19,83.6,79.08,81.94,76.98,82.4,84.21
"Kolkata, West Bengal",Demand: South Indian,98.41,100,94.26,81.12,77.23,75.22,80.44,99.94,93.49,98.39,98.88
"Chennai, Tamil Nadu",Demand: South Indian,97.15,93.55,93.38,83.43,89.11,92.39,82.59,99.76,100,84.83,86.22
"Mumbai, Maharashtra",Demand: South Indian,100,96.7,98.54,87.79,87.66,89.84,81.17,94.82,88.35,95.29,89.62
"Delhi NCR, Delhi NCR",Demand: South Indian,93.18,94.05,88.44,80.52,77.43,78.86,77.35,90.34,89.28,100,95.64
"Delhi NCR, Delhi NCR",Demand: Spanish,,,,,,,,,,,
"Hyderabad, Telangana",Demand: Spanish,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Spanish,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Spanish,,,,,,,,100,,,
"Kolkata, West Bengal",Demand: Spanish,90.91,54.55,90.91,54.55,18.18,45.45,36.36,63.64,45.45,81.82,100
"Mumbai, Maharashtra",Demand: Spanish,0.95,17.03,15.14,16.4,18.61,38.17,29.34,25.55,55.52,100,90.54
"Mumbai, Maharashtra",Demand: Tamil,,,,,,15.44,19.85,32.35,44.85,97.06,100
"Delhi NCR, Delhi NCR",Demand: Tamil,,,,,,,,,,,
"Kolkata, West Bengal",Demand: Tamil,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Tamil,84.37,79.42,81.43,74,75.37,79.09,83.92,86.14,83.46,84.86,100
"Bengaluru, Karnataka",Demand: Tamil,73.54,100,90.42,88.78,67.43,70.26,59.76,42.24,34.4,34.22,32.21
"Hyderabad, Telangana",Demand: Tamil,61.54,71.79,87.18,100,66.67,56.41,,,58.97,51.28,51.28
"Chennai, Tamil Nadu",Demand: Thai,30.45,28.48,100,24.27,26.35,27.2,32.74,39.85,41.92,24.25,29.01
"Delhi NCR, Delhi NCR",Demand: Thai,65.81,73.04,91.32,86.58,85.82,96.26,86.38,100,89.85,95.64,95.38
"Hyderabad, Telangana",Demand: Thai,97.23,76.47,87.54,85.81,83.39,82.35,84.26,93.94,79.07,91,100
"Bengaluru, Karnataka",Demand: Thai,61.63,59.02,64.4,83.42,73.8,75.46,70.76,76.36,78.78,77.72,100
"Kolkata, West Bengal",Demand: Thai,98.59,97.31,100,90.9,75.64,74.62,69.74,63.21,59.87,67.44,86.03
"Mumbai, Maharashtra",Demand: Thai,74.95,77.4,78.3,75.8,77.05,85.18,82.79,96.61,91.28,97.83,100
"Bengaluru, Karnataka",Demand: Tibetan,90.29,80.94,84.94,75.69,80.07,75.94,81.42,65.01,96.08,83.89,100
"Hyderabad, Telangana",Demand: Tibetan,89.58,60.98,69.18,39.02,48.12,59.65,60.98,43.68,75.61,90.02,100
"Chennai, Tamil Nadu",Demand: Tibetan,0.41,35.12,86.36,81.4,38.84,54.55,100,85.54,95.87,61.16,97.11
"Mumbai, Maharashtra",Demand: Tibetan,69.9,68.09,74.68,67.36,71.62,73.9,74.07,73.94,79.24,95.43,100
"Kolkata, West Bengal",Demand: Tibetan,76.47,71.01,70.28,66.95,72.08,80.65,75.74,82.12,91.12,89.96,100
"Delhi NCR, Delhi NCR",Demand: Tibetan,100,82.62,68.35,59.54,63.58,65.57,55.07,56.11,47.61,51.53,38.77
"Mumbai, Maharashtra",Demand: Turkish,74.31,93.21,88.81,82.75,98.17,86.61,79.08,100,62.94,46.79,48.07
"Bengaluru, Karnataka",Demand: Turkish,91.34,88.53,96.63,93.03,83.69,100,77.17,98.99,88.98,86.61,94.04
"Chennai, Tamil Nadu",Demand: Turkish,84.55,100,81.33,51.72,46.78,48.93,57.51,71.89,75.75,83.91,91.85
"Hyderabad, Telangana",Demand: Turkish,38.65,42.18,47.45,34.09,59.86,72.66,78.55,71.56,67.79,100,91.91
"Kolkata, West Bengal",Demand: Turkish,100,94.31,83.63,92.17,76.16,67.26,42.7,68.68,59.07,49.47,47.69
"Delhi NCR, Delhi NCR",Demand: Turkish,84.24,73.75,65.5,92.49,100,73.98,69.74,68.1,61.93,73.83,78.66
"Kolkata, West Bengal",Demand: Vietnamese,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Vietnamese,84.55,69.98,78.37,34.44,24.94,35.98,34,35.98,41.5,100,74.17
"Mumbai, Maharashtra",Demand: Vietnamese,59.23,94,100,70.98,61.63,45.56,52.52,70.74,81.29,69.54,48.44
"Bengaluru, Karnataka",Demand: Vietnamese,38.99,51.37,48.07,59.49,58.52,55.39,63.67,78.14,85.77,92.12,100
"Chennai, Tamil Nadu",Demand: Vietnamese,,,,,,,,,,,
"Hyderabad, Telangana",Demand: Vietnamese,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: Western,84.42,93.43,91.08,87.4,85.81,95.3,86.75,88.98,79.11,71.21,100
"Kolkata, West Bengal",Demand: Western,89.08,80.06,82.07,76.96,78.8,86.5,76.02,85.4,74.68,88.72,100
"Delhi NCR, Delhi NCR",Demand: Western,90.77,90.01,84.14,82.72,82.4,90.39,83.58,90.25,78.4,84.04,100
"Hyderabad, Telangana",Demand: Western,87.57,79.63,82.27,82.44,82.78,100,92.37,91.38,81.14,80.19,97.54
"Chennai, Tamil Nadu",Demand: Western,99.37,95.05,93.62,88.3,88.07,93.53,91.66,92.26,92.85,82.95,100
"Bengaluru, Karnataka",Demand: Western,95.9,93.03,92.59,87.53,83.75,91.81,86.13,81.25,75.25,81.84,100
"Delhi NCR, Delhi NCR",Demand: Wraps,6.33,9.69,15.31,16.22,23.68,36.54,8.88,7.33,33.1,100,8.91
"Chennai, Tamil Nadu",Demand: Wraps,16.72,16.78,19.45,16.98,42.44,100,89.78,22.86,16.32,10.07,10.45
"Hyderabad, Telangana",Demand: Wraps,48.68,49.69,100,90.3,80.63,87.07,50.92,51.01,40.21,38.18,35.84
"Bengaluru, Karnataka",Demand: Wraps,5.58,14.41,69.43,94.84,100,92.48,3.36,4.53,5.04,5.39,5.05
"Kolkata, West Bengal",Demand: Wraps,68.98,90.95,71.68,60.11,44.71,26.44,18.63,15.16,13.63,10.05,100
"Mumbai, Maharashtra",Demand: Wraps,8.46,16.39,41.1,44.36,25.49,100,6.97,7.24,8.17,8.87,8.9
